r_1,q_1,x_1,r_2,q_2,x_2,MM,lnPvap,Method,substance_1,substance_2,FP
10.6006,8.836,0.2,14.1828,11.65,0.8,292.47,-3.05,0,ethyl laurate,ethyl linoleate,432.1
11.9494,9.916,0.2,13.2982,10.996,0.8,278.87,-5.0,0,ethyl myristate,ethyl palmitate,437.9
11.9494,9.916,0.2,14.647,12.076,0.8,295.7,-4.91,0,ethyl myristate,ethyl stearate,443.8
11.9494,9.916,0.2,14.4149,11.863,0.8,299.7,-5.28,0,ethyl myristate,ethyl oleate,443.4
11.9494,9.916,0.2,14.1828,11.65,0.8,298.08,-5.26,0,ethyl myristate,ethyl linoleate,444.5
2.5755,2.588,0.2,7.903,6.676,0.8,145.83,7.48,0,ethanol,ethyl octanoate,307.4
8.5462,7.096,0.2,7.903,6.676,0.8,171.88,3.04,0,dodecane,ethyl octanoate,353.5
2.5755,2.588,0.2,9.2518,7.756,0.8,166.67,7.52,0,ethanol,ethyl decanoate,310.0
8.5462,7.096,0.2,9.2518,7.756,0.8,194.32,1.69,0,dodecane,ethyl decanoate,369.6
2.5755,2.588,0.2,10.6006,8.836,0.8,190.71,7.47,0,ethanol,ethyl laurate,300.7
8.5462,7.096,0.2,10.6006,8.836,0.8,216.76,1.34,0,dodecane,ethyl laurate,378.5
2.5755,2.588,0.2,11.9494,9.916,0.8,213.15,7.47,0,ethanol,ethyl myristate,303.7
8.5462,7.096,0.2,11.9494,9.916,0.8,239.21,1.29,0,dodecane,ethyl myristate,384.1
2.5755,2.588,0.2,13.2982,10.996,0.8,235.6,7.47,0,ethanol,ethyl palmitate,320.5
8.5462,7.096,0.2,13.2982,10.996,0.8,239.21,1.29,0,dodecane,ethyl palmitate,384.1
2.5755,2.588,0.2,14.647,12.076,0.8,258.04,7.47,0,ethanol,ethyl stearate,310.8
8.5462,7.096,0.2,14.647,12.076,0.8,284.09,1.28,0,dodecane,ethyl stearate,387.1
2.5755,2.588,0.2,14.4149,11.863,0.8,251.02,7.56,0,ethanol,ethyl oleate,302.7
8.5462,7.096,0.2,14.4149,11.863,0.8,281.08,1.33,0,dodecane,ethyl oleate,376.4
2.5755,2.588,0.2,14.1828,11.65,0.8,254.81,7.47,0,ethanol,ethyl linoleate,321.4
8.5462,7.096,0.2,14.1828,11.65,0.8,279.48,1.33,0,dodecane,ethyl linoleate,386.5
2.5755,2.588,0.2,5.8486,4.936,0.8,99.4,8.097548,1,ethanol,octane,278.35
4.531,3.976,0.2,5.8486,4.936,0.8,111.81,7.34324,1,methyl butyrate,octane,283.35
4.531,3.976,0.2,2.5755,2.588,0.8,52.48,8.857606,1,methyl butyrate,ethanol,280.95
4.531,3.976,0.2,5.8486,4.936,0.8,111.81,7.341254,1,propyl acetate,octane,283.15
4.531,3.976,0.2,2.5755,2.588,0.8,52.48,8.85717,1,propyl acetate,ethanol,280.95
3.9243,3.668,0.2,7.903,6.676,0.8,152.64,5.39,0,butanol,ethyl octanoate,329.23
