r_1,q_1,x_1,r_2,q_2,x_2,MM,lnPvap,Method,substance_1,substance_2,FP
10.6006,8.836,0.6,11.9494,9.916,0.4,239.59,-1.9,0,ethyl laurate,ethyl myristate,409.1
10.6006,8.836,0.6,13.2982,10.996,0.4,250.81,-1.95,0,ethyl laurate,ethyl palmitate,412.9
10.6006,8.836,0.6,14.647,12.076,0.4,262.03,-1.96,0,ethyl laurate,ethyl stearate,413.8
10.6006,8.836,0.6,14.4149,11.863,0.4,261.23,-1.96,0,ethyl laurate,ethyl oleate,412.5
10.6006,8.836,0.6,14.1828,11.65,0.4,260.42,-1.96,0,ethyl laurate,ethyl linoleate,412.7
11.9494,9.916,0.6,13.2982,10.996,0.4,267.65,-4.18,0,ethyl myristate,ethyl palmitate,429.9
11.9494,9.916,0.6,14.647,12.076,0.4,278.87,-4.24,0,ethyl myristate,ethyl stearate,430.9
11.9494,9.916,0.6,14.4149,11.863,0.4,278.06,-4.23,0,ethyl myristate,ethyl oleate,430.8
11.9494,9.916,0.6,14.1828,11.65,0.4,277.25,-4.23,0,ethyl myristate,ethyl linoleate,431.8
2.5755,2.588,0.6,7.903,6.676,0.4,92.95,8.57,0,ethanol,ethyl octanoate,295.7
8.5462,7.096,0.6,7.903,6.676,0.4,171.11,2.97,0,dodecane,ethyl octanoate,352.1
2.5755,2.588,0.6,9.2518,7.756,0.4,104.17,8.57,0,ethanol,ethyl decanoate,294.7
8.5462,7.096,0.6,9.2518,7.756,0.4,182.33,2.46,0,dodecane,ethyl decanoate,360.4
2.5755,2.588,0.6,10.6006,8.836,0.4,115.39,8.57,0,ethanol,ethyl laurate,292.4
8.5462,7.096,0.6,10.6006,8.836,0.4,193.55,2.39,0,dodecane,ethyl laurate,362.1
2.5755,2.588,0.6,11.9494,9.916,0.4,126.61,8.57,0,ethanol,ethyl myristate,292.4
8.5462,7.096,0.6,11.9494,9.916,0.4,204.77,2.38,0,dodecane,ethyl myristate,363.5
2.5755,2.588,0.6,13.2982,10.996,0.4,137.83,8.57,0,ethanol,ethyl palmitate,294.5
8.5462,7.096,0.6,13.2982,10.996,0.4,204.77,2.38,0,dodecane,ethyl palmitate,363.5
2.5755,2.588,0.6,14.647,12.076,0.4,149.05,8.57,0,ethanol,ethyl stearate,296.7
