r_1,x_1,r_2,T,gamma_1,gamma_2
13.9726,0.46,7.1974,475.908,-0.026020619,-0.022788701
13.9726,0.47,7.1974,476.857,-0.024997859,-0.023779505
13.9726,0.48,7.1974,477.83,-0.023997654,-0.024789742
13.9726,0.49,7.1974,478.827,-0.023019937,-0.025818446
13.9726,0.5,7.1974,479.848,-0.022065666,-0.026866699
13.9726,0.51,7.1974,480.895,-0.021133753,-0.027934562
13.9726,0.52,7.1974,481.969,-0.020223116,-0.029021067
13.9726,0.53,7.1974,483.071,-0.019335736,-0.030126273
13.9726,0.54,7.1974,484.203,-0.018470535,-0.031251274
13.9726,0.55,7.1974,485.366,-0.017627455,-0.032394068
13.9726,0.56,7.1974,486.561,-0.01680644,-0.033556784
13.9726,0.57,7.1974,487.79,-0.016007438,-0.034737418
13.9726,0.58,7.1974,489.054,-0.015229381,-0.03593707
13.9726,0.59,7.1974,490.356,-0.014473234,-0.037155807
13.9726,0.6,7.1974,491.697,-0.013737935,-0.038393695
13.9726,0.61,7.1974,493.08,-0.013024451,-0.039650806
13.9726,0.62,7.1974,494.506,-0.012331724,-0.040927208
13.9726,0.63,7.1974,495.978,-0.011660723,-0.042222975
13.9726,0.64,7.1974,497.499,-0.011009381,-0.043537136
13.9726,0.65,7.1974,499.071,-0.010378673,-0.044871851
13.9726,0.66,7.1974,500.697,-0.009768557,-0.046226154
13.9726,0.67,7.1974,502.381,-0.009178998,-0.047600123
13.9726,0.68,7.1974,504.126,-0.008608951,-0.048994885
13.9726,0.69,7.1974,505.935,-0.00805939,-0.050410526
13.9726,0.7,7.1974,507.814,-0.007529274,-0.051846079
13.9726,0.71,7.1974,509.766,-0.007018573,-0.05330268
13.9726,0.72,7.1974,511.796,-0.006527256,-0.054781476
13.9726,0.73,7.1974,513.909,-0.006055296,-0.056282562
13.9726,0.74,7.1974,516.111,-0.00560166,-0.057806035
13.9726,0.75,7.1974,518.408,-0.005167328,-0.059351994
13.9726,0.76,7.1974,520.806,-0.004752274,-0.060921603
13.9726,0.77,7.1974,523.314,-0.004355471,-0.062516034
13.9726,0.78,7.1974,525.937,-0.003976897,-0.064135402
13.9726,0.79,7.1974,528.684,-0.003616532,-0.065779825
13.9726,0.8,7.1974,531.565,-0.003273352,-0.06745049
13.9726,0.81,7.1974,534.588,-0.002949345,-0.069148598
13.9726,0.82,7.1974,537.762,-0.002642488,-0.070874283
13.9726,0.83,7.1974,541.098,-0.002352766,-0.072629834
13.9726,0.84,7.1974,544.606,-0.002081164,-0.07441325
13.9726,0.85,7.1974,548.295,-0.001825666,-0.07622791
13.9726,0.86,7.1974,552.175,-0.001588261,-0.078072899
13.9726,0.87,7.1974,556.255,-0.001367935,-0.079949462
13.9726,0.88,7.1974,560.54,-0.001163677,-0.081857771
13.9726,0.89,7.1974,565.034,-0.000976477,-0.083796913
13.9726,0.9,7.1974,569.739,-0.000806325,-0.085765971
13.9726,0.91,7.1974,574.648,-0.000652213,-0.087765116
13.9726,0.92,7.1974,579.755,-0.000515133,-0.089793425
13.9726,0.93,7.1974,585.039,-0.000394078,-0.091845588
13.9726,0.94,7.1974,590.474,-0.000289042,-0.093920646
13.9726,0.95,7.1974,596.033,-0.00020102,-0.096013227
13.9726,0.96,7.1974,601.666,-0.000128008,-0.098120124
13.9726,0.97,7.1974,607.325,-7.2003e-05,-0.100234786
13.9726,0.98,7.1974,612.953,-3.2001e-05,-0.102351713
